risk_score,COVID_DEATH_RATE,MODIFIED_ZCTA,NEIGHBORHOOD_NAME
28.746589311235105,137.23,11104,Long Island City - Astoria
28.55144464261217,127,10038,Chinatown/Financial District
28.55144464261217,117.92,10038,Lower Manhattan
28.12059095091442,75.78,10013,Hudson Square/Little Italy/SoHo/TriBeCa
28.12059095091442,62,10013,Greenwich Village - Soho
27.85755364366526,114.59,10001,Chelsea/NoMad/West Chelsea
27.85755364366526,72.15,10001,Chelsea - Clinton
27.41087583928628,49.61,10017,East Midtown/Murray Hill
27.41087583928628,31,10017,Gramercy Park - Murray Hill
27.38253976579884,138.56,11211,East Williamsburg/Williamsburg (North)/Williamsburg (South)
27.38253976579884,119.48,11211,Greenpoint
27.29737834568534,94.61,11231,Carroll Gardens/Cobble Hill/Red Hook
27.29737834568534,89.2,11231,Downtown - Heights - Slope
26.698914141609666,103.37,10019,Hell's Kitchen/Midtown Manhattan
26.698914141609666,108.29,10019,Chelsea - Clinton
26.682655944142546,86.87,10011,Chelsea
26.682655944142546,66.67,10011,Chelsea - Clinton
26.623592806953962,115.87,11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene
26.623592806953962,99.97,11205,Downtown - Heights - Slope
26.565875818049992,155.97,11201,Brooklyn Heights/DUMBO/Downtown Brooklyn
26.565875818049992,124.78,11201,Downtown - Heights - Slope
26.435721031285876,192.54,11238,Clinton Hill/Prospect Heights
26.435721031285876,155.51,11238,Bedford Stuyvesant - Crown Heights
26.214017818905326,150.33,11103,Astoria (North)/Astoria (South)
26.214017818905326,112.07,11103,Long Island City - Astoria
25.879781431343662,181.14,11217,Boerum Hill/Park Slope
25.879781431343662,151.65,11217,Downtown - Heights - Slope
25.54225857585959,37.53,10012,Greenwich Village/SoHo
25.54225857585959,29.19,10012,Greenwich Village - Soho
25.491043878910812,93.42,10014,Hudson Square/Meatpacking District/West Village
25.491043878910812,77.31,10014,Greenwich Village - Soho
25.29540324317659,58.69,10010,Flatiron/Gramercy/Kips Bay
25.29540324317659,61.78,10010,Gramercy Park - Murray Hill
25.027662975830204,152.61,10036,Hell's Kitchen/Midtown Manhattan
25.027662975830204,129.72,10036,Chelsea - Clinton
24.87412144181525,93.54,11222,Greenpoint
24.87412144181525,77.03,11222,Greenpoint
24.730920022892633,226.84,11237,Bushwick/East Williamsburg
24.730920022892633,195.28,11237,Williamsburg - Bushwick
23.659367261435914,93.29,10016,Kips Bay/Murray Hill/NoMad
23.659367261435914,89.48,10016,Gramercy Park - Murray Hill
22.012733364718084,65.05,10003,East Village/Gramercy/Greenwich Village
22.012733364718084,55.76,10003,Union Square - Lower East Side
19.767831994222448,36.36,10007,TriBeCa
19.767831994222448,36.36,10007,Lower Manhattan
19.237488120994726,253.83,10282,Battery Park City
19.237488120994726,253.83,10282,Lower Manhattan
18.378886539385462,62.95,10018,Hell's Kitchen/Midtown Manhattan
18.378886539385462,31.47,10018,Chelsea - Clinton
16.40263045158506,39.44,11109,Long Island City
16.40263045158506,39.44,11109,Long Island City - Astoria
9.909598380589518,23.82,10005,Financial District
9.909598380589518,23.82,10005,Lower Manhattan
9.123652299855367,0,10006,Financial District
9.123652299855367,0,10006,Lower Manhattan
NA,27.39,10004,Financial District
NA,177.59,10027,Central Harlem (South)/Morningside Heights/West Harlem
NA,249.46,10039,Central Harlem (North)/Washington Heights (South)
NA,0,10280,Battery Park City
NA,97.84,10312,Annadale/Rossville
NA,223.48,10314,Bloomfield/Freshkills Park
NA,284.97,10461,Morris Park/Pelham Bay/Westchester Square
NA,206.75,10464,City Island
NA,209.15,10465,Country Club/Throgs Neck
NA,331.4,10467,Allerton/Norwood/Pelham Parkway/Williamsbridge
NA,224.46,10473,Castle Hill/Clason Point/Soundview
NA,406.92,10475,Co-op City/Edenwald
NA,110.78,11101,Astoria (South)/Long Island City/Sunnyside
NA,248.22,11102,Astoria (North)
NA,332.46,11203,East Flatbush (North)/East Flatbush (South)
NA,243.39,11207,Cypress Hills/East New York
NA,260.44,11208,Cypress Hills/East New York
NA,65.78,11215,Gowanus/Park Slope/Windsor Terrace
NA,148.56,11232,Sunset Park
NA,204.61,11234,Bergen Beach/Flatlands/Marine Park/Mill Basin
NA,202.95,11362,Douglaston-Little Neck
NA,101.27,11364,Bayside (South)/Oakland Gardens
NA,159.37,11367,Kew Gardens Hills/Pomonok
NA,400.56,11368,Corona/North Corona
NA,227.83,11377,Woodside
NA,213.91,11378,Maspeth
NA,276.28,11379,Middle Village
NA,150.3,11417,Ozone Park
NA,244.02,11421,Woodhaven
NA,442.13,11694,Belle Harbor-Neponsit/Rockaway Park
NA,27.39,10004,Lower Manhattan
NA,152.44,10027,Central Harlem - Morningside Height
NA,192.76,10039,Central Harlem - Morningside Height
NA,0,10280,Lower Manhattan
NA,94.52,10312,South Beach - Tottenville
NA,182.75,10314,Willowbrook
NA,252.63,10461,Pelham - Throgs Neck
NA,137.83,10464,Pelham - Throgs Neck
NA,162.68,10465,Pelham - Throgs Neck
NA,273.85,10467,Fordham - Bronx Park
NA,187.32,10473,Pelham - Throgs Neck
NA,354.34,10475,Northeast Bronx
NA,102.26,11101,Long Island City - Astoria
NA,211.44,11102,Long Island City - Astoria
NA,306.57,11203,East Flatbush - Flatbush
NA,216.47,11207,East New York
NA,223.83,11208,East New York
NA,57.2,11215,Downtown - Heights - Slope
NA,130.88,11232,Sunset Park
NA,173.13,11234,Canarsie - Flatlands
NA,95.84,11362,Bayside - Little Neck
NA,72.33,11364,Bayside - Little Neck
NA,126.07,11367,Fresh Meadows
NA,332.45,11368,West Queens
NA,191.98,11377,West Queens
NA,176.33,11378,West Queens
NA,212.73,11379,Ridgewood - Forest Hills
NA,111.93,11417,Southwest Queens
NA,215.59,11421,Southwest Queens
NA,353.71,11694,Rockaway
